ProductKey;OrderDateKey;DueDateKey;ShipDateKey;CustomerKey;SalesOrderNumber;SalesAmount;US Dollar Sales Amount
314;20180102;20180114;20180109;16483;SO43715;3578,27;2283,95353290355
311;20180102;20180114;20180109;16529;SO43716;3578,27;2283,95353290355
336;20180102;20180114;20180109;25249;SO43717;699,0982;446,223399502138
311;20180104;20180116;20180111;16520;SO43724;3578,27;2287,16522850751
311;20180105;20180117;20180112;16607;SO43727;3578,27;2282,2054977996
314;20180106;20180118;20180113;16629;SO43731;3578,27;2275,38471321379
350;20180106;20180118;20180113;11025;SO43732;3374,99;2146,12107338166
310;20180107;20180119;20180114;16522;SO43735;3578,27;2263,2953826692
346;20180107;20180119;20180114;11002;SO43736;3399,99;2150,53130929791
312;20180108;20180120;20180115;16527;SO43740;3578,27;2269,32394723491
347;20180109;20180121;20180116;11007;SO43743;3399,99;2165,46079867524
313;20180109;20180121;20180116;16631;SO43744;3578,27;2279,00770651551
311;20180110;20180122;20180117;16514;SO43745;3578,27;2281,1870457733
312;20180110;20180122;20180117;16616;SO43746;3578,27;2281,1870457733
310;20180111;20180123;20180118;16482;SO43753;3578,27;2269,18003678103
350;20180112;20180124;20180119;11017;SO43757;3374,99;2148,5803412274
314;20180113;20180125;20180120;16352;SO43760;3578,27;2273,21644114097
310;20180113;20180125;20180120;16493;SO43761;3578,27;2273,21644114097
313;20180114;20180126;20180121;16525;SO43763;3578,27;2278,28218515217
310;20180114;20180126;20180121;16612;SO43764;3578,27;2278,28218515217
346;20180114;20180126;20180121;11010;SO43765;3399,99;2164,77142493315
313;20180115;20180127;20180122;16518;SO43766;3578,27;2265,8751266464
350;20180115;20180127;20180122;11001;SO43767;3374,99;2137,15172239109
312;20180116;20180128;20180123;16524;SO43772;3578,27;2261,43588447197
314;20180116;20180128;20180123;16526;SO43773;3578,27;2261,43588447197
313;20180116;20180128;20180123;16348;SO43774;3578,27;2261,43588447197
347;20180116;20180128;20180123;11027;SO43775;3399,99;2148,76445680339
311;20180117;20180129;20180124;16515;SO43777;3578,27;2261,15007898894
345;20180117;20180129;20180124;11018;SO43778;3399,99;2148,49289099526
326;20180117;20180129;20180124;25252;SO43779;699,0982;441,768214849921
312;20180118;20180130;20180125;16495;SO43781;3578,27;2263,58173076923
312;20180118;20180130;20180125;16516;SO43782;3578,27;2263,58173076923
312;20180118;20180130;20180125;16620;SO43783;3578,27;2263,58173076923
314;20180119;20180131;20180126;16484;SO43791;3578,27;2264,72784810127
312;20180119;20180131;20180126;16623;SO43792;3578,27;2264,72784810127
344;20180119;20180131;20180126;11000;SO43793;3399,99;2151,89240506329
347;20180119;20180131;20180126;11029;SO43794;3399,99;2151,89240506329
312;20180120;20180201;20180127;16345;SO43797;3578,27;2273,93873919675
310;20180120;20180201;20180127;16521;SO43798;3578,27;2273,93873919675
312;20180120;20180201;20180127;16636;SO43799;3578,27;2273,93873919675
312;20180122;20180203;20180129;16523;SO43806;3578,27;2286,58061217969
310;20180123;20180204;20180130;16350;SO43809;3578,27;2271,62899949213
345;20180123;20180204;20180130;11004;SO43810;3399,99;2158,44972067039
346;20180123;20180204;20180130;11026;SO43811;3399,99;2158,44972067039
311;20180124;20180205;20180131;16494;SO43815;3578,27;2269,32394723491
314;20180124;20180205;20180131;16496;SO43816;3578,27;2269,32394723491
310;20180124;20180205;20180131;16519;SO43817;3578,27;2269,32394723491
312;20180124;20180205;20180131;16528;SO43818;3578,27;2269,32394723491
346;20180124;20180205;20180131;11006;SO43819;3399,99;2156,2595129376
313;20180125;20180206;20180201;16349;SO43825;3578,27;2272,9276503843
348;20180125;20180206;20180201;11008;SO43826;3374,99;2143,80359524868
338;20180125;20180206;20180201;25250;SO43827;699,0982;444,069237121261
311;20180126;20180207;20180202;16347;SO43830;3578,27;2272,9276503843
349;20180126;20180207;20180202;11028;SO43831;3374,99;2143,80359524868
350;20180127;20180208;20180203;11009;SO43837;3374,99;2144,07597992504
312;20180128;20180209;20180204;16630;SO43842;3578,27;2272,20599441199
313;20180129;20180210;20180205;16743;SO43921;3578,27;2293,61579385937
314;20180130;20180211;20180206;16661;SO43925;3578,27;2299,06836288872
351;20180131;20180212;20180207;11055;SO43926;3374,99;2168,45926497044
314;20180131;20180212;20180207;16662;SO43927;3578,27;2299,06836288872
313;20180131;20180212;20180207;16740;SO43928;3578,27;2299,06836288872
322;20180131;20180212;20180207;25270;SO43929;699,0982;449,176432793626
314;20180201;20180213;20180208;16741;SO43932;3578,27;2299,06836288872
347;20180201;20180213;20180208;11031;SO43933;3399,99;2184,52197378566
346;20180201;20180213;20180208;11034;SO43934;3399,99;2184,52197378566
312;20180202;20180214;20180209;17047;SO43937;3578,27;2296,85474035561
310;20180202;20180214;20180209;16686;SO43938;3578,27;2296,85474035561
312;20180202;20180214;20180209;16659;SO43939;3578,27;2296,85474035561
336;20180202;20180214;20180209;25294;SO43940;699,0982;448,743950189357
344;20180203;20180215;20180210;11054;SO43944;3399,99;2186,34814481384
310;20180203;20180215;20180210;16675;SO43945;3578,27;2300,9902900135
313;20180203;20180215;20180210;16687;SO43946;3578,27;2300,9902900135
310;20180203;20180215;20180210;16712;SO43947;3578,27;2300,9902900135
345;20180203;20180215;20180210;11047;SO43948;3399,99;2186,34814481384
310;20180203;20180215;20180210;17051;SO43942;3578,27;2300,9902900135
311;20180204;20180216;20180211;16696;SO43951;3578,27;2306,18071667956
312;20180204;20180216;20180211;16639;SO43952;3578,27;2306,18071667956
